File Name,Positive Score,Negative Score,Polarity Score,Subjectivity Score
Netclan20241017_negative.txt,0,1,-0.9999990000010001,0.9999990000010001
Netclan20241017_positive.txt,8,0,0.9999998750000157,0.9999998750000157
Netclan20241018_negative.txt,0,8,-0.9999998750000157,0.9999998750000157
Netclan20241018_positive.txt,15,0,0.9999999333333378,0.9999999333333378
Netclan20241019_negative.txt,0,3,-0.9999996666667778,0.9999996666667778
Netclan20241019_positive.txt,13,0,0.9999999230769291,0.9999999230769291
Netclan20241020_negative.txt,0,12,-0.9999999166666736,0.9999999166666736
Netclan20241020_positive.txt,26,0,0.9999999615384629,0.9999999615384629
Netclan20241021_negative.txt,0,1,-0.9999990000010001,0.9999990000010001
Netclan20241021_positive.txt,5,0,0.99999980000004,0.99999980000004
Netclan20241022_negative.txt,0,1,-0.9999990000010001,0.9999990000010001
Netclan20241022_positive.txt,8,0,0.9999998750000157,0.9999998750000157
Netclan20241023_negative.txt,0,8,-0.9999998750000157,0.9999998750000157
Netclan20241023_positive.txt,15,0,0.9999999333333378,0.9999999333333378
Netclan20241024_negative.txt,0,3,-0.9999996666667778,0.9999996666667778
Netclan20241024_positive.txt,13,0,0.9999999230769291,0.9999999230769291
Netclan20241025_negative.txt,0,12,-0.9999999166666736,0.9999999166666736
Netclan20241025_positive.txt,26,0,0.9999999615384629,0.9999999615384629
Netclan20241026_negative.txt,0,22,-0.9999999545454565,0.9999999545454565
Netclan20241026_positive.txt,59,0,0.9999999830508478,0.9999999830508478
Netclan20241027_negative.txt,0,7,-0.9999998571428775,0.9999998571428775
Netclan20241027_positive.txt,21,0,0.9999999523809546,0.9999999523809546
Netclan20241028_negative.txt,0,3,-0.9999996666667778,0.9999996666667778
Netclan20241028_positive.txt,30,0,0.9999999666666678,0.9999999666666678
Netclan20241029_negative.txt,0,6,-0.9999998333333611,0.9999998333333611
Netclan20241029_positive.txt,23,0,0.999999956521741,0.999999956521741
Netclan20241030_negative.txt,0,6,-0.9999998333333611,0.9999998333333611
Netclan20241030_positive.txt,16,0,0.9999999375000038,0.9999999375000038
Netclan20241031_negative.txt,0,17,-0.999999941176474,0.999999941176474
Netclan20241031_positive.txt,64,0,0.9999999843750003,0.9999999843750003
Netclan20241032_negative.txt,0,3,-0.9999996666667778,0.9999996666667778
Netclan20241032_positive.txt,10,0,0.99999990000001,0.99999990000001
Netclan20241033_negative.txt,0,8,-0.9999998750000157,0.9999998750000157
Netclan20241033_positive.txt,42,0,0.9999999761904769,0.9999999761904769
Netclan20241034_negative.txt,0,4,-0.9999997500000625,0.9999997500000625
Netclan20241034_positive.txt,8,0,0.9999998750000157,0.9999998750000157
Netclan20241035_negative.txt,0,5,-0.99999980000004,0.99999980000004
Netclan20241035_positive.txt,17,0,0.999999941176474,0.999999941176474
Netclan20241036_negative.txt,0,8,-0.9999998750000157,0.9999998750000157
Netclan20241036_positive.txt,23,0,0.999999956521741,0.999999956521741
Netclan20241037_negative.txt,0,2,-0.99999950000025,0.99999950000025
Netclan20241037_positive.txt,14,0,0.9999999285714337,0.9999999285714337
Netclan20241038_negative.txt,0,2,-0.99999950000025,0.99999950000025
